localidad,anio,vif_casos,lesiones_casos,spa_casos,poblacion_ref,vif_tasa,lesiones_tasa,spa_tasa
USAQUEN,2018,1403.0,1249.0,188.0,501999,279.4826284514511,248.80527650453487,37.450273805326304
USAQUEN,2019,1657.0,917.0,400.0,501999,330.08033880545577,182.6696865930012,79.68143362835384
USAQUEN,2020,1844.0,710.0,285.0,501999,367.3314090267112,141.43454469032807,56.773021460202116
USAQUEN,2021,1598.0,1080.0,516.0,501999,318.3273273452736,215.13987079655539,102.78904938057646
USAQUEN,2022,1312.0,800.0,375.0,501999,261.3551023010006,159.3628672567077,74.70134402658172
USAQUEN,2023,1477.0,786.0,325.0,501999,294.2236936726965,156.5740170797153,64.7411648230375
USAQUEN,2024,2179.0,811.0,465.0,501999,434.0646096904576,161.5541066814874,92.62966659296134
USAQUEN,2025,1092.0,646.0,425.0,501999,217.530313805406,128.68551530979144,84.66152323012597
CHAPINERO,2018,568.0,799.0,138.0,139701,406.5826300455974,571.9357771240005,98.78239955333176
CHAPINERO,2019,457.0,627.0,236.0,139701,327.1272217092218,448.81568492709425,168.93221952598765
CHAPINERO,2020,551.0,383.0,200.0,139701,394.4137837238101,274.15694948497145,143.16289790337936
CHAPINERO,2021,505.0,549.0,411.0,139701,361.4863172060329,392.9821547447763,294.1997551914446
CHAPINERO,2022,724.0,597.0,187.0,139701,518.2496904102333,427.3412502415874,133.85730953965972
CHAPINERO,2023,723.0,567.0,339.0,139701,517.5338759207164,405.8668155560805,242.66111194622803
CHAPINERO,2024,1012.0,552.0,429.0,139701,724.4042633910996,395.12959821332703,307.08441600274875
CHAPINERO,2025,579.0,361.0,245.0,139701,414.45658943028326,258.4090307155997,175.3745499316397
SANTA FE,2018,621.0,1223.0,848.0,110048,564.2992148880488,1111.333236405932,770.5728409421343
SANTA FE,2019,583.0,868.0,489.0,110048,529.7688281477173,788.7467287002036,444.35155568479206
SANTA FE,2020,725.0,659.0,381.0,110048,658.8034312300088,598.8296016283803,346.2125617912184
SANTA FE,2021,1038.0,807.0,671.0,110048,943.2247746437918,733.3163710380925,609.7339342832219
SANTA FE,2022,1008.0,794.0,875.0,110048,915.963943006688,721.5033439953474,795.1075894155277
SANTA FE,2023,1104.0,827.0,740.0,110048,1003.1986042454201,751.4902587961617,672.4338470485606
SANTA FE,2024,1848.0,745.0,610.0,110048,1679.267228845595,676.977318988078,554.3035766211108
SANTA FE,2025,886.0,518.0,263.0,110048,805.1032276824658,470.7036929339924,238.98662401861006
SAN CRISTOBAL,2018,2345.0,1718.0,197.0,404697,579.4458570238969,424.515131073371,48.678393958937185
SAN CRISTOBAL,2019,2649.0,1444.0,270.0,404697,654.5637847574852,356.8101567345446,66.71658055285806
SAN CRISTOBAL,2020,2538.0,1148.0,208.0,404697,627.1358571968658,283.6690165728928,51.39647687034992
SAN CRISTOBAL,2021,2288.0,1339.0,410.0,404697,565.3612455738491,330.8648198528776,101.31036306174742
SAN CRISTOBAL,2022,1855.0,1081.0,533.0,404697,458.3676182427841,267.11342065792434,131.70347198027167
SAN CRISTOBAL,2023,2407.0,1210.0,332.0,404697,594.765960706405,298.98912025540096,82.03668423536621
SAN CRISTOBAL,2024,2082.0,1126.0,399.0,404697,514.4589655964833,278.2328507500673,98.5922801503347
SAN CRISTOBAL,2025,1559.0,913.0,644.0,404697,385.2264780811323,225.6008816472571,159.1313995408911
USME,2018,1870.0,1551.0,154.0,457302,408.92014467463514,339.16317881837386,33.67577662026407
USME,2019,2173.0,1489.0,625.0,457302,475.1783285443755,325.60539862060523,136.6711713484743
USME,2020,2411.0,1233.0,398.0,457302,527.2227105938745,269.62488683627015,87.03220191470844
USME,2021,2164.0,1414.0,401.0,457302,473.2102636769575,309.2048580587883,87.68822353718112
USME,2022,1932.0,1109.0,270.0,457302,422.4779248724038,242.50932644073282,59.0419460225409
USME,2023,1990.0,1067.0,345.0,457302,435.1610095735422,233.32502372611532,75.44248658435782
USME,2024,1927.0,986.0,565.0,457302,421.384555501616,215.61243991935308,123.55073889902077
USME,2025,1091.0,774.0,650.0,457302,238.57319670589675,169.2535785979506,142.1380182024133
TUNJUELITO,2018,940.0,892.0,150.0,199430,471.34332848618567,447.27473298901873,75.21436092864664
TUNJUELITO,2019,1045.0,883.0,524.0,199430,523.9933811362383,442.7618713332999,262.74883417740557
TUNJUELITO,2020,947.0,541.0,469.0,199430,474.8533319961891,271.2731284159856,235.17023517023515
TUNJUELITO,2021,880.0,587.0,329.0,199430,441.257584114727,294.3388657674372,164.97016497016497
TUNJUELITO,2022,876.0,477.0,239.0,199430,439.25186782329644,239.18166775309635,119.84154841297699
TUNJUELITO,2023,825.0,485.0,207.0,199430,413.6789851075565,243.19310033595747,103.79581808153237
TUNJUELITO,2024,786.0,537.0,258.0,199430,394.1232512661084,269.267412124555,129.36870079727223
TUNJUELITO,2025,703.0,356.0,296.0,199430,352.50463821892396,178.50874993732137,148.4230055658627
BOSA,2018,4760.0,2230.0,221.0,673077,707.1999191771521,331.3142478498002,32.83428196179635
BOSA,2019,4676.0,2042.0,768.0,673077,694.7199206034377,303.38282247053456,114.10284410253209
BOSA,2020,4728.0,1582.0,455.0,673077,702.4456340062133,235.0399731382888,67.5999922742866
BOSA,2021,4010.0,2213.0,690.0,673077,595.771360483273,328.788533852739,102.5142739983687
BOSA,2022,3695.0,1674.0,781.0,673077,548.9713658318439,248.70854300473792,116.03427245322601
BOSA,2023,3829.0,1615.0,706.0,673077,568.8799349851503,239.94282972081945,104.8914165838381
BOSA,2024,3651.0,1434.0,896.0,673077,542.434223721803,213.05140422269668,133.11998478628743
BOSA,2025,1965.0,1342.0,1426.0,673077,291.94282377796304,199.38283435624749,211.86283292996197
KENNEDY,2018,4449.0,3496.0,358.0,1088443,408.7490112022403,321.1927496432978,32.89101955729422
KENNEDY,2019,5107.0,3087.0,975.0,1088443,469.2023376511218,283.61613791443375,89.57749739765886
KENNEDY,2020,4882.0,2196.0,533.0,1088443,448.5306074824313,201.75608644641932,48.96903191072018
KENNEDY,2021,4387.0,2994.0,867.0,1088443,403.0528011113122,275.0718227780417,79.65506691668742
KENNEDY,2022,4207.0,2517.0,903.0,1088443,386.5154169763598,231.2477548204178,82.9625437436779
KENNEDY,2023,3914.0,2306.0,858.0,1088443,359.5962305789095,211.86226564000134,78.8281977099398
KENNEDY,2024,4630.0,2446.0,1181.0,1088443,425.37826969349794,224.7246755227421,108.50361479654883
KENNEDY,2025,3039.0,1535.0,1906.0,1088443,279.2061688117798,141.02713692862187,175.1125231178849
FONTIBON,2018,1375.0,1083.0,138.0,394648,348.4117492043543,274.4217631915023,34.96787010196428
FONTIBON,2019,1449.0,808.0,434.0,394648,367.16263607062496,204.73941335063145,109.9714175670471
FONTIBON,2020,1302.0,640.0,324.0,394648,329.91425270114127,162.16983235693579,82.09847763069875
FONTIBON,2021,1155.0,871.0,715.0,394648,292.6658693316576,220.7030062232673,181.17410958626422
FONTIBON,2022,1497.0,819.0,753.0,394648,379.32537349739516,207.5267073442663,190.80294338245727
FONTIBON,2023,1386.0,791.0,426.0,394648,351.1990431979891,200.43177717865035,107.9442946625854
FONTIBON,2024,2359.0,669.0,490.0,394648,597.747866453143,169.51815288560945,124.16127789827897
FONTIBON,2025,1657.0,397.0,787.0,394648,419.86783158662905,100.59597413391174,199.41821572641948
ENGATIVA,2018,3072.0,2116.0,283.0,887080,346.30473012580603,238.53541957884295,31.902421427605177
ENGATIVA,2019,3225.0,1589.0,475.0,887080,363.5523289894936,179.12702349280787,53.54646706046805
ENGATIVA,2020,3742.0,1347.0,317.0,887080,421.83343103215043,151.8465076430536,35.73522117509131
ENGATIVA,2021,3314.0,1781.0,954.0,887080,373.58524597556027,200.77106912567075,107.54385173828742
ENGATIVA,2022,3276.0,1619.0,724.0,887080,369.3015286107228,182.5089056229427,81.61608874058709
ENGATIVA,2023,2781.0,1595.0,859.0,887080,313.5004734634982,179.80339991883483,96.8345583261938
ENGATIVA,2024,3871.0,1380.0,1107.0,887080,436.37552419173016,155.56657798620193,124.79145060197501
ENGATIVA,2025,3030.0,1066.0,1048.0,887080,341.57009514361727,120.1695450241241,118.14041574604319
SUBA,2018,3972.0,2458.0,361.0,1218513,325.9710811456258,201.72127831217227,29.62627399133206
SUBA,2019,4394.0,1893.0,675.0,1218513,360.6034568363243,155.35328716230356,55.39538765692283
SUBA,2020,4416.0,1633.0,414.0,1218513,362.4089361377351,134.01580450926662,33.97583776291267
SUBA,2021,4831.0,2143.0,1099.0,1218513,396.46684114162093,175.8700974056083,90.19189782956768
SUBA,2022,3749.0,1909.0,760.0,1218513,307.670086408598,156.66636301787506,62.37110313964644
SUBA,2023,4308.0,2008.0,856.0,1218513,353.5456741126274,164.79101987422376,70.24955827307546
SUBA,2024,5300.0,1685.0,975.0,1218513,434.95637715806066,138.283301039874,80.01555994888852
SUBA,2025,2889.0,1314.0,961.0,1218513,237.09225917162968,107.83635463880977,78.86661857526346
BARRIOS UNIDOS,2018,581.0,751.0,104.0,243465,238.63799724806438,308.4632288008543,42.71661224405972
BARRIOS UNIDOS,2019,573.0,565.0,96.0,243465,235.35210399852133,232.0662107489783,39.43071899451667
BARRIOS UNIDOS,2020,657.0,452.0,107.0,243465,269.8539831187234,185.65296859918263,43.94882221263837
BARRIOS UNIDOS,2021,715.0,592.0,292.0,243465,293.6767091779106,243.15610046618613,119.93510360832151
BARRIOS UNIDOS,2022,769.0,617.0,290.0,243465,315.8564886123262,253.42451687100817,119.11363029593576
BARRIOS UNIDOS,2023,590.0,608.0,302.0,243465,242.33462715380034,249.7278869652722,124.04247017025034
BARRIOS UNIDOS,2024,914.0,478.0,212.0,243465,375.41330376029407,196.33212166019757,87.07617111289098
BARRIOS UNIDOS,2025,729.0,367.0,163.0,243465,299.42702236461093,150.74035282278766,66.95007495943976
TEUSAQUILLO,2018,524.0,743.0,138.0,153025,342.4277078908675,485.5415781735011,90.18134291782388
TEUSAQUILLO,2019,337.0,421.0,218.0,153025,220.22545335729455,275.1184446985787,142.46038229047542
TEUSAQUILLO,2020,438.0,282.0,158.0,153025,286.2277405652671,184.28361378859663,103.25110276098675
TEUSAQUILLO,2021,1029.0,505.0,534.0,153025,672.4391439307303,330.0114360398628,348.96258781244893
TEUSAQUILLO,2022,628.0,444.0,324.0,153025,410.3904590753145,290.14866851821597,211.73010945923866
TEUSAQUILLO,2023,363.0,403.0,356.0,153025,237.2161411534063,263.3556608397321,232.64172520829928
TEUSAQUILLO,2024,829.0,498.0,411.0,153025,541.7415454991014,325.4370200947558,268.5835647769972
TEUSAQUILLO,2025,711.0,394.0,289.0,153025,464.62996242444046,257.47426891030875,188.85802973370363
LOS MARTIRES,2018,462.0,1057.0,325.0,99119,466.1063973607482,1066.3949394162573,327.88869944208477
LOS MARTIRES,2019,459.0,597.0,727.0,99119,463.07973244282124,602.3063186674603,733.4617984442942
LOS MARTIRES,2020,573.0,572.0,611.0,99119,578.0929993240449,577.0841110180692,616.4307549511193
LOS MARTIRES,2021,692.0,787.0,1643.0,99119,698.1507077351466,793.9950968028329,1657.6034867179856
LOS MARTIRES,2022,907.0,808.0,2034.0,99119,915.0616935199105,815.1817512283214,2052.078814354463
LOS MARTIRES,2023,1432.0,1179.0,811.0,99119,1444.7280541571242,1189.479312745286,818.2084161462485
LOS MARTIRES,2024,3674.0,1069.0,673.0,99119,3706.6556361545213,1078.501599087965,678.9818299216095
LOS MARTIRES,2025,620.0,427.0,275.0,99119,625.5107497049001,430.7953066516006,277.4442841433025
ANTONIO NARINO,2018,442.0,515.0,117.0,109176,404.8508829779439,471.71539532497985,107.16641020004397
ANTONIO NARINO,2019,442.0,429.0,236.0,109176,404.8508829779439,392.94350406682787,216.1647248479519
ANTONIO NARINO,2020,455.0,295.0,138.0,109176,416.7582618890599,270.20590605993993,126.40140690261595
ANTONIO NARINO,2021,455.0,422.0,112.0,109176,416.7582618890599,386.5318384993039,102.58664908038396
ANTONIO NARINO,2022,466.0,352.0,139.0,109176,426.83373635231186,322.4151828240639,127.31735912654796
ANTONIO NARINO,2023,434.0,313.0,111.0,109176,397.52326518648783,286.6930460907159,101.67069685645197
ANTONIO NARINO,2024,379.0,330.0,182.0,109176,347.1458928702279,302.2642338975599,166.70330475562395
ANTONIO NARINO,2025,310.0,203.0,150.0,109176,283.9451894189199,185.93830145819595,137.39283358979995
PUENTE ARANDA,2018,1018.0,1249.0,182.0,258287,394.13520618536745,483.5706016950137,70.46425100760007
PUENTE ARANDA,2019,1185.0,986.0,330.0,258287,458.79196397805543,381.7458873268883,127.76485072806605
PUENTE ARANDA,2020,1101.0,757.0,506.0,258287,426.2700019745477,293.08482424589704,195.9061044497013
PUENTE ARANDA,2021,1688.0,907.0,619.0,258287,653.5365697847743,351.15975639501795,239.65588666870573
PUENTE ARANDA,2022,1071.0,917.0,791.0,258287,414.6550155447235,355.03141853829266,306.24847553303107
PUENTE ARANDA,2023,1134.0,845.0,469.0,258287,439.04648704735433,327.1554511067146,181.5809545195848
PUENTE ARANDA,2024,969.0,753.0,463.0,258287,375.1640616833213,291.5361593885871,179.25795723361995
PUENTE ARANDA,2025,1477.0,663.0,882.0,258287,571.8444985616775,256.69120009911455,341.4806010368311
LA CANDELARIA,2018,125.0,242.0,102.0,24088,518.9305878445699,1004.6496180670873,423.447359681169
LA CANDELARIA,2019,182.0,266.0,236.0,24088,755.5629359016938,1104.2842909332448,979.740949850548
LA CANDELARIA,2020,268.0,224.0,228.0,24088,1112.587180338758,929.9236134174693,946.5293922284955
LA CANDELARIA,2021,302.0,307.0,116.0,24088,1253.736300232481,1274.4935237462637,481.5675855197609
LA CANDELARIA,2022,675.0,196.0,277.0,24088,2802.2251743606776,813.6831617402856,1149.950182663567
LA CANDELARIA,2023,136.0,190.0,306.0,24088,564.5964795748921,788.7744935237463,1270.342079043507
LA CANDELARIA,2024,299.0,198.0,293.0,24088,1241.281966124211,821.9860511457988,1216.373297907672
LA CANDELARIA,2025,141.0,154.0,76.0,24088,585.3537030886748,639.3224842245102,315.5097974094985
RAFAEL URIBE URIBE,2018,1324.0,1601.0,242.0,374246,353.7779962912095,427.79348343068466,64.66334977528149
RAFAEL URIBE URIBE,2019,1781.0,1483.0,516.0,374246,475.89018987510883,396.26342031711766,137.87722514068287
RAFAEL URIBE URIBE,2020,1752.0,1150.0,342.0,374246,468.1412760590627,307.28451339493273,91.3837422444061
RAFAEL URIBE URIBE,2021,1688.0,1319.0,240.0,374246,451.04022487882304,352.4419766677533,64.12894192589901
RAFAEL URIBE URIBE,2022,1458.0,1037.0,319.0,374246,389.58332219983646,277.090469904822,85.23805197650744
RAFAEL URIBE URIBE,2023,1614.0,1067.0,293.0,374246,431.2671344516708,285.10658764555933,78.29074993453503
RAFAEL URIBE URIBE,2024,1726.0,1053.0,372.0,374246,461.19397401709034,281.3657326998819,99.39985998514346
RAFAEL URIBE URIBE,2025,1250.0,684.0,474.0,374246,334.0049058640573,182.7674844888122,126.65466030365054
CIUDAD BOLIVAR,2018,3948.0,2311.0,286.0,707569,557.9667848647977,326.61125628737267,40.42008623893924
CIUDAD BOLIVAR,2019,3792.0,2392.0,770.0,707569,535.9194650981035,338.05890308931004,108.82330910483643
CIUDAD BOLIVAR,2020,3949.0,1743.0,442.0,707569,558.108113837661,246.3363997009479,62.46740600563337
CIUDAD BOLIVAR,2021,3406.0,2202.0,573.0,707569,481.3664815728219,311.20639824525944,80.98150145074192
CIUDAD BOLIVAR,2022,3748.0,1798.0,450.0,707569,529.7009902921128,254.10949320843622,63.59803778854076
CIUDAD BOLIVAR,2023,5856.0,2068.0,525.0,707569,827.6224650882106,292.2683158815607,74.19771075329756
CIUDAD BOLIVAR,2024,4773.0,2283.0,835.0,707569,674.5631874771224,322.6540450471968,118.00969234095898
CIUDAD BOLIVAR,2025,3235.0,1363.0,1028.0,707569,457.19922721317636,192.63139001284682,145.2861841035998
SUMAPAZ,2018,28.0,22.0,0.0,6531,428.72454448017146,336.85499923442046,0.0
SUMAPAZ,2019,2.0,0.0,0.0,6531,30.62318174858368,0.0,0.0
SUMAPAZ,2020,24.0,11.0,0.0,6531,367.4781809830041,168.42749961721023,0.0
SUMAPAZ,2021,0.0,1.0,1.0,6531,0.0,15.31159087429184,15.31159087429184
SUMAPAZ,2022,2.0,0.0,1.0,6531,30.62318174858368,0.0,15.31159087429184
SUMAPAZ,2023,0.0,0.0,1.0,6531,0.0,0.0,15.31159087429184
SUMAPAZ,2024,1.0,0.0,1.0,6531,15.31159087429184,0.0,15.31159087429184
SUMAPAZ,2025,0.0,0.0,0.0,6531,0.0,0.0,0.0
